Title,Actors,Director
Sylvia Kristel,John Glen,The Long Riders
Jamie Lee Curtis,Alan Alda,The Island
Marsha Mason,Terry Gilliam,First Family
Fred Astaire,Desmond Davis,Prom Night
Amy Steel,Ted Berman,The Nude Bomb
Sam Neill,John Derek,The Competition
Dee Wallace,Oz Scott,Wholly Moses!
Robert Hays,Jim Henson,The Last Married Couple in America
Ringo Starr,Karel Reisz,Used Cars
Kristy McNichol,Alan Myerson,The Last Flight of Noah's Ark
James Cagney,Ken Shapiro,The Mirror Crack'd
Julie Andrews,Rick Rosenthal,The Fiendish Plot of Dr. Fu Manchu
Jennifer O'Neill,Glenn Jordan,Stardust Memories
Peter MacNicol,Lawrence Kasdan,The Hollywood Knights
Klinton Spilsbury,John Irvin,Serial
Albert Finney,Steve Miner,Somewhere in Time
Maren Jensen,Graham Baker,Saturn 3
Elizabeth Berridge,Joel Schumacher,Tribute
Mark Lee,Bruce Malmuth,The Formula
Paul Kelman,Frank Perry,Battle Creek Brawl
Tony Danza,David Steinberg,The Awakening
Kristen Riter,Joe Dante,Fatso
Daniel Valdez,Richard Marquand,How to Beat the High Cost of Living
Lauren Bacall,Gus Trikonis,Foxes
Susan Anspach,Carl Gottlieb,The Big Red One
Albert Brooks,George Cukor,The Stunt Man
Andy Kaufman,David Cronenberg,Where the Buffalo Roam
David Scott,William A. Fraker,The Gong Show Movie
Lesley-Anne Down,Bob Rafelson,Motel Hell
David Rasche,Michael Mann,Little Miss Marker
Harry Hamlin,Michael Wadleigh,Oh Heavenly Dog
Leonard Mann,Wes Craven,Divine Madness
Lauren Tewes,Tobe Hooper,In God We Trust (or Gimme That Prime Time Religion)
Scott Glenn,Billy Wilder,He Knows You're Alone
Jan-Michael Vincent,Peter Weir,Coast to Coast
Jerzy Radziwilowicz,George Mihalka,Melvin and Howard
Robert Logan,Jeremy Joe Kronsberg,Roadie
Robert Blake,Mickey Rose,Gloria
Craig T. Nelson,Jean-Claude Tramont,Kagemusha
Arnold Schwarzenegger,Roger Spottiswoode,Resurrection
Ben Kingsley,Luis Valdez,Hide in Plain Sight
Lee Horsley,Ed Bianchi,When Time Ran Out...
Terry Ballard,Les Rose,Heaven's Gate
Sean Young,Oliver Stone,ffolkes
Lloyd Bridges,Allan Arkush,Midnight Madness
Sean Penn,Malcolm Leo,Loving Couples
Bob Geldof,Jack Fisk,The Idolmaker
Toni Attell,Noel Nosseck,The Black Marble
Hal Holbrook,Ivan Passer,Gilda Live
Orson Welles,Allan King,Windows
Tom Burlinson,Ken Hughes,Just Tell Me What You Want
Kenny Rogers,Ken Wiederhorn,Bon Voyage
Scott Baio,Lamont Johnson,Carny
Johnny Yune,Andrzej Wajda,Why Would I Lie?
Charles Bronson,Christopher Chapman,Nijinsky
Maxwell Caulfield,Nicholas Meyer,Heart Beat
Derek Jacobi,John Milius,One-Trick Pony
Tom Atkins,Albert Pyun,Those Lips
