Title,Actors,Director
Ta-Nehisi Coates,Abby Kohn,Must Love Dogs
Marie Leuenberger,Kay Cannon,Doom
Lezley McSpadden,Rob Greenberg,Derailed
Maggie Mulubwa,John Stevenson,The Descent
Moritz Bleibtreu,Otto Bathurst,Elektra
Gary Graham,Christian Rivers,Kicking & Screaming
Autumn Reeser,Christian Gudegast,Good Night
Mariam Al Ferjani,Ari Aster,Æon Flux
Yunhee Cho,Jeff Tomsic,Pooh's Heffalump Movie
Matt Bomer,Stefano Sollima,Elizabethtown
Sally Agarwal,Aneesh Chaganty,Just Friends
Brianna Hildebrand,Nicolai Fuglsig,Unleashed
Felicia Day,Nick Park,Diary of a Mad Black Woman
Evgeniy Tkachuk,Aaron Horvath,Capote
Enyinna Nwigwe,Kar Lok Chin,Broken Flowers
Odeya Rush,Josie Rourke,The Wedding Date
Pio Amato,Alexandre Astier,Land of the Dead
Mathieu Ratthe,Alex Garland,Get Rich or Die Tryin'
Kostja Ullmann,Diederik Van Rooijen,Into the Blue
Andrew Caldwell,Gan Bi,Deuce Bigalow: European Gigolo
Dina Buno,Julius Avery,A Lot Like Love
Bella Thorne,Kwang-shik Kim,Oliver Twist
John Schneider,Hae-Young Lee,The Sisterhood of the Traveling Pants
Marcel Borràs,Youyin Wu,Serenity
Julian Schaffner,Alexandre Avancini,The Ringer
Deborah Kara Unger,Gilles de Maistre,Magnificent Desolation: Walking on the Moon 3D
Daniel Beaty,Ahmed Khan,Dreamer: Inspired by a True Story
Neil deGrasse Tyson,Drew Goddard,Casanova
Perry Botkin Jr.,Donovan Marsh,Beauty Shop
Miranda July,Kook-Hee Choi,Assault on Precinct 13
Manolo Blahnik,Yann Demange,Bad News Bears
Cat Brooks,Andrew Hyatt,Because of Winn-Dixie
Alexis Adler,Sung-Hyun Choi,The Cave
Michael Zahs,Eon-hie Lee,Cry Wolf
Taapsee Pannu,Tetsuo Yajima,Rent
Tatá Werneck,Xing Fei,Wolf Creek
Abbi Jacobson,Ka-Wai Kam,Two for the Money
Ben Eine,Beom-sik Jeong,Cursed
Marli Renfro,Kenji Nagasaki,The Upside of Anger
Frank Drake,Director X.,Mrs Henderson Presents
Andrew Bleechington,Jun-Soo Park,Ice Princess
Jennifer Brea,Ash Mayfair,Goal! The Dream Begins
Paul Farmer,Yen-Ping Chu,Typhoon
Meera Rohit Kumbhani,Boots Riley,The Tiger and the Snow
Dan Barber,Bethany Ashton Wolf,North Country
Owen Campbell,Stephen Susco,Lady Vengeance
Andrea Cresti,Jong-suk Lee,Russian Dolls
Fawzia Mirza,Julie Cohen,Hustle & Flow
Garrett Hedlund,Bo Burnham,Domino
Persephone Apostolou,Wash Westmoreland,The Jacket
Richard Turner,John Andreas Andersen,The Devil's Rejects
Brett Gelman,Tim Wardle,The Perfect Man
Art Spiegelman,Drew Pearce,The Weather Man
Okwui Okpokwasili,Byung-woo Kim,Waiting...
Catt Sadler,Christoph Lauenstein,An Unfinished Life
Ksenia Solo,Kim Min-Ho,Keeping Mum
Stephen Hagan,Shunji Iwai,The World's Fastest Indian
Tim Black,Clare Niederpruem,Joyeux Noel
Marisa Ryan,Marco Polo Constandse,Roll Bounce
Ryan Kelley,Nash Edgerton,Rebound
Michael O'Chonfhlaola,Dong-Seok Noh,The Matador
Charles Tate Jr.,Xinyun Li,Caché
Ann Magnuson,Jonathan Baker,The Great Yokai War
Hampton Fancher,Barbara Wong Chun-Chun,Kiss Kiss Bang Bang
John Aaron,Hong Chang-Pyo,The Gospel
Eduardo Garcia,Jonah Hill,The Greatest Game Ever Played
Chase Johnsey,Yong-wan Kim,Transamerica
Jon Bernthal,Oliver Daly,Lords of Dogtown
Khaled Umar Harah,Frank Perozo,The Honeymooners
Daniel Bacon,Alan Elliott,Aliens of the Deep
Tim Pigott-Smith,Michael Mason,My Big Fat Independent Movie
James Zimbardi,Kevin Connolly,Three Burials
Che-Hao Chang,Árni Ásgeirsson,Millions
Alexis Leggett,Shun'ichi Yoshizawa,Shopgirl
Frank Serpico,Luis Ortega,A Sound of Thunder
Maika Monroe,Andrés Couturier,The Squid and the Whale
Wes Bergmann,Carlos López Estrada,The Beat That My Heart Skipped
Stef Dawson,Richard Lanni,The Libertine
Dania Ramirez,Bruce Macdonald,Sophie Scholl: The Final Days
Lee Pace,Gustav Möller,The Great Raid
Alda Gomes,Ian Barry,Alone in the Dark
Gilbert Gottfried,Hiroyasu Ishida,In the Mix
Natti Natasha,John Lacy,The Ice Harvest
Kenny Anderson,Nick Searcy,Angel-A
Nichole Alred,David G. Evans,Kinky Boots
Tamryn Speirs,Benoît Godbout,Tsotsi
Arsh Bajwa,Kazuya Kamihoriuchi,Private
Bjarke Ingels,Daniel Roby,Salaam Namaste
Leo Fafard,Paul Dano,Mad Hot Ballroom
Ronald Reagan,Ian Bonhôte,La mujer de mi hermano
Anna Schafer,Rupert Everett,Stay
Jean Bush,Blake Harris,Princesas
Nikolaj Coster-Waldau,Sergio Manfio,Mangal Pandey: The Rising
Ian McLaren,Cristina Gallego,Me and You and Everyone We Know
Rachael Perrell Fosket,Ricardo Trogi,Bee Season
Michael A.,Marc Turtletaub,The Aristocrats
Lili Simmons,Perry Lang,Fragile
Fernando Álvarez Rebeil,Ali Abbasi,The Secret Life of Words
Elizabeth Debicki,Lance Daly,Happily Ever After
Devin Blackmon,David Robert Mitchell,Don't Tell
Alain Azerot,Mari Okada,Underclassman
Sheila Kay Adams,David Victori,The Child
Rami Malek,Jesper Ganslandt,Into Great Silence
Yi Zhang,Louis Garrel,Enron: The Smartest Guys in the Room
Haoran Liu,Sharat Katariya,Don't Come Knocking
Lady Gaga,Idris Elba,Rize
Shameik Moore,Desiree Akhavan,King's Ransom
John Boyega,Brady Corbet,Edison
Constance Wu,Carl Hunter,The White Countess
Bo Butterworth,Panos Cosmatos,Grizzly Man
Mackenzie Foy,Eric Welch,Le petit lieutenant
Lin Shaye,Assaf Bernstein,Breakfast on Pluto
Boyd Holbrook,Alessia Chiesa,Mrs. Palfrey at the Claremont
Kevin Eldon,Kevin Peeples,Green Street Hooligans
Jasper Liu,Andrew Jones,Everything Is Illuminated
Y'lan Noel,Craig William Macneill,Lemming
Jiayin Lei,Marcelo Martinessi,Paradise Now
Storm Reid,Don Hardy,Where the Truth Lies
Jianbin Chen,Alonso Ruizpalacios,The Method
Allie Chan,Eric Khoo,The Long Weekend
Olivia Colman,Crispian Mills,Separate Lies
Leslie Mann,Ethan Hawke,The Cave of the Yellow Dog
Wendi McLendon-Covey,Thomas Stuber,Junebug
Kelly Asbury,Stephan Schultze,Bunty Aur Babli
J. Michael Finley,Lisa D'Apolito,Supercross
Hera Hilmar,Muayad Alayan,Little Fish
Alex Wolff,Heather Lenz,Queens
Viola Davis,Benjamín Naishtat,La moustache
Justin Theroux,Quinn Lasher,Elsa & Fred
Lily Franky,Akarsh Khurana,Time to Leave
Zain Al Rafeea,Elizabeth Chomko,Gabrielle
Ray Corasani,Reinaldo Marcus Green,Factotum
Greg Cipes,Mathew Cullen,Fateless
Ekin Cheng,Steve Loveridge,Look Both Ways
Angela Bain,Kristin McCarthy Parker,Last Days
Kyrie Irving,Jeremiah Zagar,Côte d'Azur
Shay Mitchell,Steve Jones,Adam's Apples
Jovan Adepo,Mudassar Aziz,Paheli
Joo-Hyuk Nam,Ike Barinholtz,Waqt: The Race Against Time
Petrônio Gontijo,Zach Golden,Thumbsucker
Daniah De Villiers,Lorna Tucker,Garam Masala
Claire Foy,Chantelle Squires,Viruddh... Family Comes First
Tiffany Haddish,Greg Dicharry,The Work and the Glory II: American Zion
Toby Kebbell,David Morris,Secuestro express
Ethan Baird,Lorena Villarreal,The Aura
Alex Honnold,Ahsan Rahim,Murderball
Hye-su Kim,David Zellner,State Property: Blood on the Streets
Sang-Woo Kwon,Kitarô Kôsaka,El vacilón: The Movie
Sarah Natochenny,Robert Bahar,Happy Endings
Fred Rogers,Andrew Bowler,Asylum
Hang Cai,Cristina Costantini,Nine Lives
Jin Zhang,Jeremy Workman,Parineeta
Yoo Je-Yoon,Paul David Kennamer Jr.,Sarah Silverman: Jesus Is Magic
Daiki Yamashita,Sébastien Pilote,Ballets Russes
Trevor Jackson,Gary Bates,Heights
KiKi Layne,Gabriel Abrantes,Bewafaa
Nam-joon Kim,Matt Tyrnauer,No Entry
Hong Chuong Nguyen,Reuben Evans,Indigo
Man-Tat Ng,Kimberly Reed,Little Manhattan
Ji-won Kim,Jeff Cheung,Man-Thing
Yang Xiao,Seth Kramer,Undiscovered
LaKeith Stanfield,Mily Mumford,On a Clear Day
Cynthea Mercado,Josephine Decker,Duma
Logan Marshall-Green,Martin Montgomery,First Descent
Alex Roe,Jonathan Munby,The Ballad of Jack and Rose
Colin Woodell,Eva Husson,Lucky: No Time for Love
Ruth Bader Ginsburg,Duncan Skiles,Venom
Elsie Fisher,Andrew Goldsmith,Mirrormask
Joshua Leonard,Dennis Scholl(co-director),Mary
Robert Shafran,Kevin Kerslake,The Thing About My Folks
Callum Maloney,David Chuang,Inside Deep Throat
Lucas Hedges,Tim Janis,Kaal
Dong-seok Ma,Justin MacGregor,Crossing the Bridge: The Sound of Istanbul
Friedrich Mücke,Til Schweiger,Deewane Huye Paagal
Sarah Davenport,Ken Kushner,The Prize Winner of Defiance
Kate Vernon,Raúl de la Fuente,Manderlay
Dong-won Gang,Gerd F. Schultze,Dust to Glory
Angourie Rice,Owen Egerton,Dear Wendy
Kyung-soo Do,Julien Faraut,Three Times
Qianyuan Wang,Qasim Basir,Kids in America
Myles Truitt,RaMell Ross,Pretty Persuasion
Fiona Sit,Jean-Paul Civeyrac,Shaadi No. 1
Jun-ho Choi,Josh Webber,Kisna: The Warrior Poet
Priscilla Quintana,Dimitri Logothetis,The Wayward Cloud
Sunny Suljic,Eva Vives,Little Jerusalem
Batsheva Dance Company,Morgan Capps,Free Zone
Pope Francis,Rufus Norris,Mobsters and Mormons
Alex Neustaedter,Dominique Rocher,House of D
Christine Marzano,Christina Choe,The Game of Their Lives
Aretha Franklin,Bing Liu,Havoc
Thomasin McKenzie,A.B. Shawky,The Big White
Ah-in Yoo,Rodrigo Barriuso,The Chumscrubber
Megan Alexander,Azfar Jafri,The Dying Gaul
Nina Dobrev,Paula Eiselt,The Boys of Baraka
Jim Acosta,Adina Pintilie,Neal 'N' Nikki
Diljit Dosanjh,Devon Parks,Ek Ajnabee
Samuel Hunt,Patrick Magee,Battle in Heaven
J. David Brimmer,Angelo Lopes,Dominion: Prequel to the Exorcist
Crystal Reed,Cameron Yates,Gay Sex in the 70s
Lorenzo Ferro,Mark Cousins,Darshan
Marcello Fonte,Suzi Ewing,New York Doll
Daveed Diggs,Jeremy Frindel,Down and Derby
Taylor James,Sanjay Rawal,The World
David Tennant,Anne Sewitsky,The Keeper: The Legend of Omar Khayyam
Halldóra Geirharðsdóttir,Wes Miller,Lower City
Nadine Garner,Augustine Frizzell,The Untold Story of Emmett Louis Till
Maxim Roy,Silas Howard,States of Grace
Spencer Reinhard,Devon Downs,November
Kana Kita,Gabe Polsky,Stoned
Rosamund Pike,Michael Bolton,The Baxter
Josh Daugherty,David A. Armstrong,Protocols of Zion
Sonja Ball,Benjamin Clark,Forty Shades of Blue
Atsuhiro Inukai,Amy Scott,Dirty Deeds
Sam Fletcher,Sasha Waters Freyer,Brooklyn Lobster
Ed Oxenbould,Danny A. Abeckaser,Lunacy
Eileen Atkins,Hadi Hajaig,Dil Jo Bhi Kahey...
Matthew Derek Davis,Alexandria Bombach,Loggerheads
Bernard Arnault,Bo Hu,After Innocence
William Moseley,Alexis Bloom,Pure
Johnny Yong Bosch,Greg A. Sager,Ek Khiladi Ek Haseena
Odessa Young,Yan Giroux,The War Within
Carmiña Martínez,Joseph Dorman(co-director),Come Away Home
Nick Offerman,Marilyn Ness,Naked in Ashes
José Luis Ferrer,Paul Brown,Rock School
Sandrine Bisson,Jake Meginsky,A Year Without Love
Charlbi Dean,Jason Stone,Home Delivery: Aapko... Ghar Tak
Behnaz Jafari,Hunter West,The Two of Us
Eva Melander,Khalik Allah,Chocolate: Deep Dark Secrets
Sofia Boutella,Dominga Sotomayor Castillo,Never Been Thawed
Rory Kinnear,Chris Martin,The Goebbels Experiment
Manaka Iwami,Leon Lee,Ellie Parker
Dogu Demirkol,Philippe Niang,Bailey's Billion$
Antwayne Eccleston,Juuso Laatio,William Eggleston in the Real World
Rob Brydon,Amy Adrion,Apaharan
Benjamin A. Onyango,Bruce W. Stacey,The Intruder
Yalitza Aparicio,Jack Bryan,Hate Crime
India Eisley,Jackson Gary,Zizek!
Susanne Wuest,Aigars Grauba,Margaret Cho: Assassin
Franz Rogowski,Stuart Swezey,Dirty Love
Lara Rógora,Danny Green,Smile
Alba August,Toshiaki Kidokoro,Reel Paradise
Micah Lynn Hanson,Steve McLean,Going Shopping
Lee Bane,Narcissister,39 Pounds of Love
Ana Brun,Hao Wu,Eternal
Matt Fowler,Emily Railsback,Drivers Wanted
IHARA,Joshua Land,Emmanuel's Gift
Atsumi Tanezaki,James D. Stern,Bigger Than the Sky
Ben Dickey,Ian Cheney,Major Dundee
Andreas Leupold,Michael Dweck,Voices in Wartime
Chris Nelson,David McCracken,The Last Dispatch
Andrew Alexander,Rémi Kessler,The Deal
Gregg Berger,Evan Tramel,Mr Ya Miss
Maisa Abd Elhadi,Matthew Cook,The Reception
Yayoi Kusama,Nathaniel Lezra,The Last Mogul
Ishaan Khattar,Jonathan Berman,Night of Henna
Yvonne Strahovski,Tim Rouhana,One Bright Shining Moment
John David Washington,John Barbisan,Wild Side
Amber Heard,Steve Clark,Duane Hopwood
M.I.A.,Asori Soto,Daltry Calhoun
Langston Belton,J.L. Topkis,All Babes Want to Kill Me
Evan Rosado,Ricky D'Ambrose,One More Round
Bruce Irons,Maria Allred,The President's Last Bang
Ross Lynch,Theresa Bennett,Occupation: Dreamland
Ike Barinholtz,Daniel Adams,Aristide and the Endless Revolution
Danielle Deadwyler,Karen Gillan,The Aggressives
Kevin Hines,Polly Draper,McLibel
Siân Phillips,Carmine Cangialosi,Solitude
Novak Ricardo Cañamar,Stere Gulea,Emile
Steven Curtis Chapman,Dean Matthew Ronalds,The Roost
Ali Zafar,Adam Wood,Sacred Stage: The Mariinsky Theater
Seiran Kobayashi,Matthew Charles Santoro,This Divided State
María Martín,Josh Cooley,The Helix... Loaded
Lauren Greenfield,Yu Yang,Sex Sells: The Making of 'Touché'
Kabrina Adams,Frant Gwo,Nowhere Man
Manoj Anand,Simon Kinberg,Unveiled
Jack Andraka,Gary Dauberman,Stolen Childhoods
Ronnie Coleman,Derek Tsang,Side Effects
Matt Green,Dexter Fletcher,Steal Me
Stephen Cranford,Michael Engler,Kalyug
Karelle Tremblay,Jill Culton,The Comedians of Comedy
Gary Bates,Nick Bruno,The Dark Hours
Carloto Cotta,Thurop Van Orman,Pirates of the Caribbean: Dead Man's Chest
Ian Schrager,Michael Chaves,The Da Vinci Code
Anne Curtis,Byeong-heon Lee,Ice Age: The Meltdown
Georgia Angelopoulos,Dylan Brown,Casino Royale
Jon Tester,David Lam,Night at the Museum
Chi Wah Wong,Kevin Kölsch,Cars
Ike Davis,Gene Stupnitsky,X-Men: The Last Stand
Donna Benedicto,Jazz Boon,Superman Returns
Helena Howard,Chris Addison,Happy Feet
Katie Grober,Justin Baldoni,Over the Hedge
Golshifteh Farahani,Adrian Grunberg,The Devil Wears Prada
Liza Lapira,Takashi Otsuka,The Pursuit of Happyness
Edna Buchanan,Gail Mancuso,The Departed
Eric Ambel,Sang Geun Lee,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
Joe Shu-Wei Chang,Amp Wong,Eragon
Alivia Clark,Roxann Dawson,Click
Jeff Koons,Brian Kirk,The Holiday
Tommy Wiseau,Justin Dec,The Break-Up
Zach McGowan,Melina Matsoukas,Open Season
Miroslaw Haniszewski,Lars Klevberg,Inside Man
Jean-Luc Godard,Stephen Merchant,Poseidon
Peter Bogdanovich,Yong-ho Son,Deja Vu
Sarah Brightman,David Yarovesky,Flushed Away
Robbie Kay,Won-Tae Lee,Scary Movie 4
Lizzie Kommes,Olivia Wilde,Blood Diamond
Mike Anderson,Tyler Nilson,Saw III
John McEnroe,Nisha Ganatra,Miami Vice
Omari Hardwick,Lulu Wang,The Pink Panther
Latrenda 'Boosie' Ash,Chuck Konzelman,Talladega Nights: The Ballad of Ricky Bobby
Andranic Manet,Hung-i Chen,World Trade Center
David Banner,Armando Praça,The Fast and the Furious: Tokyo Drift
Alain Moussi,Dapeng Zhang,Rocky Balboa
George R.R. Martin,Robert Eggers,Dreamgirls
Nadia Albina,Tomonori Sudô,Charlotte's Web
Andrea Riseborough,Oh-Kwang Kwon,Garfield: A Tail of Two Kitties
Keire Johnson,Zara Hayes,Monster House
Rady Gamal,Lino DiSalvo,Big Momma's House 2
Rodrigo Santoro,Andrea Berloff,Babel
Hareem Farooq,Todd Douglas Miller,Perfume: The Story of a Murderer
Amy Ackerman,Jung Da-Won,V for Vendetta
Laura Benson,Joo-hwan Kim,You
Casey Gagliardi,Robin Bissell,Failure to Launch
Brendan Guy Murphy,Aaron Woodley,The Queen
Flynn McGarry,Ariel Winograd,Apocalypto
Mark Cousins,Hiroyuki Imaishi,Eight Below
Alex Gibbs,James Kent,The Omen
Vasant Lad,Paul Downs Colaizzo,Final Destination 3
Ine Marie Wilmann,Muh Chen,Barnyard
Maia Mitchell,Tony Grech-Smith,The Lake House
Wayne Gretzky,Laure de Clermont-Tonnerre,Step Up
Mitch Albom,Hiroshi Akabane,Underworld: Evolution
Allison Anders,Farhad Safinia,The Santa Clause 3: The Escape Clause
Joyce Case,Le-Van Kiet,The Prestige
Geoff Dyer,Sujeeth,Arthur and the Invisibles
Danny A. Abeckaser,Jagan Shakti,Little Man
Nadia Murad,Farhad Samji,The Wild
Yu Zhang,Joe Talbot,Little Miss Sunshine
Ioana Iacob,Drew Kirsch,Silent Hill
Tony Waag,Prithviraj Sukumaran,The Good Shepherd
Alys Crocker,Bruce Springsteen,Nacho Libre
Martin Dubreuil,Shelly Chopra Dhar,Deep Sea
Dante Barksdale,Michal Kondrat,The Host
Milford Graves,Tony Ka Fai Leung,The Illusionist
Stefanie Scott,Lee Cronin,The Shaggy Dog
Jennica Schwartzman,Alma Har'el,Date Movie
Demian Hernández,Robert Fernandez,Volver
Ziad Abaza,Tom Harper,Jackass Number Two
Anonymous,Ayumu Watanabe,Pan's Labyrinth
Julie Ferrier,Jerry Mitchell,Firewall
Johannes Holopainen,Riley Stearns,Hostel
Ava DuVernay,Claudio Giovannesi,The Sentinel
Rico Simonini,Julius Onah,Curse of the Golden Flower
Rheal Rees,Mark Bramble,The Lives of Others
Donald Trump,Laxman Utekar,United 93
Barouyr,Kantemir Balagov,Lady in the Water
Brooke Gary,Joanna Hogg,The Grudge 2
Edvin Endre,Quentin Dupieux,Children of Men
Anthony Ausgang,Akiv Ali,The Hills Have Eyes
Mali Music,Waad Al-Kateab,Curious George
Yûki Kaji,Alejandro Landes,John Tucker Must Die
Narcissister,Heiward Mak,Letters from Iwo Jima
Austin Davis,Kyle Lollis,Take the Lead
Mara Gordon,Eduardo Ortíz,Flags of Our Fathers
Jeremy Quinn,Jeffrey Nicholson,16 Blocks
Sue Schaffel,Shonali Bose,The Benchwarmers
John Ladd,Nick Knight,Madea's Family Reunion
Jennifer L. Macalady,Richard Lowenstein,Snakes on a Plane
Marty Berger,Alex Ranarivelo,My Super Ex-Girlfriend
Mike C. Nelson,Frédéric Petitjean,Marie Antoinette
Celina Alvarez,Dale Heslip,Invincible
Eric Graise,Timothy Greenfield-Sanders,She's the Man
Bobbi Maxwell,Daniel Junge,Lucky Number Slevin
Ivy Rhodes,Tamara Kotevska,The Ant Bully
Anthony Stratton,Timothy Mahoney,Stranger Than Fiction
Claude Lanzmann,A.J. Eaton,The Texas Chainsaw Massacre: The Beginning
Andrew Asper,Aneesh Daniel,Notes on a Scandal
Alia Shawkat,Janice Engel,An Inconvenient Truth
Daniel Boone,Robbie Grewal,The Black Dahlia
Wendell Pierce,Kirill Mikhanovsky,The Last King of Scotland
Martin Luther King,Malik Bader,Deck the Halls
Jake Borelli,Max Lewkowicz,The Nativity Story
Zia Anger,Gavin Fitzgerald,We Are Marshall
Maria Allred,Jonathan Wright,Last Holiday
Carly Chaikin,Chinonye Chukwu,Glory Road
Lyne Renee,Melanie Martinez,Crank
Tony Revolori,Noble Jones,Man of the Year
Karen Gillan,Shugo Fujii,A Good Year
William Fichtner,Noah Hawley,Gridiron Gang
Kathrine Narducci,Barak Goodman,Scoop
Horatiu Malaele,Van Ling,The Wicker Man
Tammy Blanchard,James B. Merryman,Basic Instinct 2
James Wilks,Alla Kovgan,Accepted
Ron Eldard,Hlynur Palmason,Employee of the Month
Carrie Fisher,Avi Belkin,Just My Luck
Yanting Lü,David Mahmoudieh,The Covenant
Rosa Salazar,Tom Jones,Miss Potter
Kyle Chandler,Semi Chellas,Love and Honour
Dean-Charles Chapman,Chi Keung Fung,Tell No One
Linda Hamilton,Wayne Price,Dhoom 2
Dongyu Zhou,Eddie Mensore,Stick It
Michelle Dockery,J.J. Englert,Ultraviolet
Chloe Bennet,Paul Taublieb,The Valet
Kotaro Daigo,Ben Masters,Tristan & Isolde
Rachel Brosnahan,Jorge Soto,Priceless
Taylor Russell,Swati Bhise,Stay Alive
Himesh Patel,Britt Poulton,Clerks II
Myeong Gong,Tuva Novotny,The Painted Veil
Madison Ingoldsby,Frédéric Tcheng,Black Book
Sofia Mali,Yilmaz Erdogan,A Prairie Home Companion
Jacob Tremblay,Hannah Pearl Utt,Kabhi Alvida Naa Kehna
Zoe Margaret Colletti,Glenn Payne,School for Scoundrels
Timothy Simons,Benedict Andrews,Alex Rider: Operation Stormbreaker
Kaya Scodelario,Abhishek Chaubey,Valley of the Wolves: Iraq
Haley Lu Richardson,Masayuki Kojima,OSS 117: Cairo
Roman Griffin Davis,Chiwetel Ejiofor,Aquamarine
Felecia Angelle,Eric Notarnicola,Days of Glory
Jennifer Hudson,Abe Forsythe,The Wind that Shakes the Barley
Jung-suk Jo,Ajay Bahl,Fanaa
Vincent Rodriguez III,Yuzuru Tachikawa,The Marine
Samara Weaving,Mads Brügger,Unaccompanied Minors
Marcel Ruiz,Barnabás Tóth,Flicka
Mesfin Lamengo,Deva Katta,Black Christmas
Rebel Wilson,Tara Wood,Waist Deep
Elizabeth Lail,Jason Baffa,ATL
Sophie Nélisse,Barry Andersson,Beerfest
Jiang Du,Ben Medina,Don
Mark Stanley,Tom DeNucci,Akeelah and the Bee
Cynthia Erivo,Lucio Castro,Bandidas
Florence Pugh,Garret Price,Friends with Money
Paul Walter Hauser,Jocelyn DeBoer,Krrish
Alex Kendrick,Vincent James,Carry On
Pitbull,Beniamino Barrese,Flyboys
Dave Bautista,Nitin Kakkar,Memories of Tomorrow
Louis Ashbourne Serkis,Luke Lorentzen,Avenue Montaigne
Sasha Luss,Richard Grieco,Annapolis
Kaitlyn Dever,Hassan Fazili,Material Girls
Naomie Harris,Ingrid Serban,Hollywoodland
Zack Gottsagen,Tony Wash,American Dreamz
Shuzhen Zhao,Drew Cullingham,Everyone's Hero
Amber Kuo,Oliver Murray,The Fountain
Marco Nanini,Daniel Scheinert,Omkara
Yun Liu,Jay Karas,The Last Kiss
Billy Barratt,Irene Taylor Brodsky,Larry the Cable Guy: Health Inspector
Yu Asakawa,Kim Longinotto,The Science of Sleep
Jung-min Park,Marie Kreutzer,Little Children
Simon Yam,Richard Gray,Bhagam Bhag
Anya Taylor-Joy,Michael Tyburski,Turistas
Gina Rodriguez,Dylan Thomas Ellis,My Best Friend
Neil Armstrong,Mark Landsman,Freedomland
Mi-ran Ra,Hiroshi Nishikiori,Tenacious D in the Pick of Destiny
Seo-joon Park,Sam Dunn,One Night with the King
Oakes Fegley,Joe Madureira,The History Boys
John Eric Bentley,Peter Parlow,How to Eat Fried Worms
Adam Devine,Brian Skiba,Slither
Pierfrancesco Favino,Hank Leigh Hump,Bon Cop Bad Cop
Andrea Griminelli,Roxanne Benjamin,Idlewild
Rikako Aida,Flavio Alves,Zoom
Jillian Bell,Guy Édoin,The Return
Mayday,Max Martini,The Hoax
Noémie Merlant,Prune Nourry,After the Wedding
Yara Shahidi,Jacqui Fifer,Something New
Phoebe Waller-Bridge,None,Roving Mars
Hisaaki Takeuchi,Wolfgang Reitherman,The Night Listener
Van Veronica Ngo,Phil Roman(co-director),Facing the Giants
Louis-José Houde,John Barry,All the King's Men
Joey Lauren Adams,David Wechter,Goya's Ghosts
Jimmie Fails,Lorne Michaels,The Page Turner
Taylor Swift,Arthur Rankin Jr.,Comedy of Power
Linda Ronstadt,Ian MacNaughton,Breaking and Entering
Adam Savage,Chuck Jones,Rang De Basanti
Vidyut Jammwal,Art Leonardi,Hoot
Ryôta Katayose,Tom Tataranowicz,A Scanner Darkly
Patti Scialfa,Jeffrey Obrow,DOA: Dead or Alive
Kamila Kaminska,George Ogilvie,Running with Scissors
Seána Kerslake,Lou Kachivas,Phat Girlz
David Thorpe,Kimio Yabuki,It's a Boy Girl Thing
Mana Ashida,R.J. Kizer,I Served the King of England
Pelé,Burny Mattinson,Venus
Matt Henry,Takashi Tezuka,Golden Door
Depeche Mode,Michael Ballhaus,Hard Candy
Kathryn Prescott,Gerry Chiniquy,Crossover
Francesco Di Napoli,John Freeman,The Unknown Woman
Philip Bertioli,Charles McCracken,Kenny
Eugenia Bone,Harvey Weinstein,Grandma's Boy
Viktoria Miroshnichenko,Ray Patterson,Copying Beethoven
Julia Stockler,Terry Winsor,Van Wilder 2: The Rise of Taj
Gabriel D'Almeida Freitas,Vittorio Taviani,Vitus
Waad Al-Kateab,Richard Williams,Jindabyne
Sofia Buenaventura,John Cleese,For Your Consideration
Sammi Cheng,Rocky Morton,The Good German
Nora Fatehi,William Porter,Catch a Fire
Tony Evans,Mac Ahlberg,Shortbus
Stephany Liriano,David Hughes,Severance
Michael Saquella,John Musker,Kabul Express
Kanye West,Gary Goldman(co-director),Confetti
Helena Christensen,David Worth,Half Nelson
Michael Roark,David Blyth,Let's Go to Prison
Ron Carter,Lloyd Kaufman,Shaadi Karke Phas Gaya Yaar
Geddy Lee,Ken Wheat,Keeping Up with the Steins
David McConnell,Kjehl Rasmussen,Inland Empire
Toni Morrison,William Hanna,Brick
Ernest Anastasio,Bill Murray,Trailer Park Boys: The Movie
Hatidze Muratova,Barry L. Young,Factory Girl
Norah Jones,Ishirô Honda,Ten Canoes
Michael Shelomo Bar-Ron,Kirk Wise,Unknown
Desi Arnaz,Rolando Hudson,Art School Confidential
Roy M. Cohn,Alan Ormsby,Lady Chatterley
Vlad Ivanov,Bruce Sinofsky,Wordplay
Harold Cook,György Pálos,Them
Lauren 'Lolo' Spencer,James Ridgeway,The Boss of It All
Sophia Lillis,Kevin Jarre,Samoan Wedding
Tom Mercier,Bruce Timm,O Jerusalem
Jonas Dassler,Mitch Glazer,Infamous
Jason Cooper,Darren Moloney,Find Me Guilty
Marc Aronson,Peter Speek,The Man of My Life
Anna Pniowsky,D.A. Pennebaker,Quinceañera
Andrel McPherson,Myron Meisel,Lonely Hearts
Moe Berg,Susan Todd,Still Life
Liam Gallagher,Gary Goldman,Ask the Dust
Jex Blackmore,Michael J. Sheridan,A Family Secret
Jeni Ross,Marilyn Mulford,Fur: An Imaginary Portrait of Diane Arbus
Melanie Martinez,Eric Goldberg,Fast Food Nation
Becky,Mike de Seve,Neil Young: Heart of Gold
Tatsuji Sugiyama,David Lane,Candy
Marc Maron,Paul Sabella,Right at Your Door
John Roberts,Lilly Wachowski,A Guide to Recognizing Your Saints
Susan Brown,Fred Williamson,The Italian
Tania Raymonde,Marie Pérennou,The Wedding Weekend
Shakira,Philip Tan,Election 2
